customer_id,name,email,phone,address,account_type,credit_score,state,join_date
94710075-c7fd-4487-956d-e69a9b0f49a5,Diana Villegas,wgeorge@example.org,+1-942-722-3573x22523,"144 Michael Neck, North Michelle, AZ 58623",Business,637,NM,2021-10-04
76f517c7-5cae-44e6-b354-47535951024b,Richard Frazier,nancy89@example.org,472.888.2899x724,"79992 Katherine Estates, New Larry, AR 82756",Checking,720,MS,2024-10-23
0f925851-0e6b-47ea-ba10-2c0fe06474e0,Brian Brown,christinaolson@example.com,621-517-5622x2640,"38886 Kathy Vista, Lake Joshua, NJ 54892",Checking,694,RI,2023-05-17
b98939bb-3c4b-484f-bb9e-166000a62909,Warren Mills,mlee@example.org,988-363-0484x41205,"PSC 5976, Box 2197, APO AA 65929",Checking,632,FL,2024-02-25
0d6b7755-03b6-406a-8570-d5fc7cd24d6b,Brian Wood,mweaver@example.org,946.927.2049,"66364 Craig Bridge Apt. 292, Lake Bryan, DE 40269",Business,624,ME,2024-10-25
8790e44b-4709-4194-8566-33222ae58470,Matthew Neal,kendra50@example.com,001-969-661-5085x693,"874 Reilly Shore, Hudsonchester, IL 88870",Business,796,WI,2022-02-02
882987f2-62d3-43c9-9c53-72dc03b048e1,Stephanie Lewis,adalton@example.com,917.646.5466x89455,"3502 Baker Flat Suite 131, North Maryhaven, CA 25026",Checking,595,DE,2023-09-12
9b799df2-f8f7-4efe-b7a9-3ff4498340cf,Melissa Anthony,michael41@example.net,(259)305-8556,"019 Ray Drive, Brewerhaven, MO 85009",Checking,691,WI,2024-07-29
e0b56025-4928-423c-8952-be1c4007144a,Michael Bowman,awilliams@example.net,+1-585-830-2391,"868 Aaron Mills Apt. 434, Flemingshire, TN 49685",Checking,838,NM,2022-09-10
101fd48f-d378-4842-add6-6c59872aa1c2,Shawn Harvey,jerryyoung@example.org,914.672.3210x825,"17197 Mia Grove, Crystalside, SC 56346",Business,593,KS,2022-06-26
333b8a80-ef80-4dfb-9b8c-e7c70ac767f2,John Olsen,justin96@example.com,902.662.5639,"5305 Howell Roads, North Gregory, OH 06331",Business,681,ND,2022-10-13
c80d9468-9477-4b38-ba5d-7269a698ebef,Christina Joseph,robertsonann@example.org,+1-821-423-1309x7353,"01502 Mary Extensions, East Veronica, WY 71744",Business,794,ID,2021-08-09
514c62ff-3eaa-460c-b29e-62d0554bf8b5,Christine Castillo,abarber@example.com,732-391-9355x13540,"USNV Flores, FPO AE 13517",Checking,809,MA,2024-03-31
fe8f4eb5-ede9-44a7-abe0-df10c1c45289,Jessica Richardson,russellryan@example.org,(468)316-6899,"2611 Jennifer Plain Suite 921, Lake Melissaview, AS 70321",Business,722,OR,2023-12-22
a0c4e27e-4e14-4060-8bf8-05f243937f5a,Melody Brown,brownisabel@example.org,001-281-572-4081,"07649 Norman Run, Brownbury, NC 28348",Checking,661,AK,2023-06-06
972d48fe-b4c4-43ec-81a5-691fba98579a,Melissa Larson,lisahayes@example.org,714-410-0144x6747,"Unit 8141 Box 4475, DPO AA 03631",Business,796,NH,2024-04-19
98f6ddb3-dc07-446f-99af-6b79aa0a1b68,John Hernandez,markroberts@example.net,001-350-682-4440x63815,"PSC 1962, Box 1296, APO AP 09657",Savings,722,NM,2024-07-13
72160d52-043f-4114-a3c2-874445d6e909,Debbie Ross,sydneyolson@example.com,994-813-3899x040,"1316 Eric Groves, Fletcherton, NC 26472",Checking,690,NJ,2024-10-27
5706cb24-8419-424f-a558-c91b3e82783d,Jesus Davis,margaret80@example.net,777.559.2388,"Unit 9308 Box 5679, DPO AE 66348",Savings,632,FL,2021-09-10
033d7e2b-fd96-41ed-bed7-2a2e339dfcb9,Julie Clark,msmith@example.com,(698)399-9267x64950,"617 Rojas Crossroad Suite 084, Port Philipfort, VT 17919",Checking,774,RI,2021-11-13
4e84a01f-7ecd-4581-a72e-b64c86c20eaf,Angela Butler,elizabethrussell@example.net,726.668.8829x2552,"PSC 3043, Box 8225, APO AE 61431",Checking,763,VT,2023-09-27
d290e36b-8a5f-4129-ae4b-c91ae990d542,Erica Morris,sherriherrera@example.net,001-884-811-5976,"03103 Kurt Pass Apt. 740, Dylanport, NY 85982",Savings,715,PR,2022-02-18
10f3c57e-b874-4018-b29c-01313ecfc945,David Chavez,joshua81@example.org,719.837.7771x05248,"7053 Michael Locks Suite 929, Deanfurt, MD 75072",Checking,815,MN,2022-11-25
610543a9-2a97-476e-b5a8-cee14c5fc9fb,Diana Porter,courtney17@example.org,+1-564-798-2412x628,"12930 Johnson Expressway Apt. 831, Johnchester, MI 78817",Business,643,PW,2022-03-26
cde53995-6287-49ca-944b-2752b0defd5d,Jeffrey Lee,spencedwayne@example.org,853.519.6117,"54737 Johnson Roads Apt. 743, South Angelaborough, MO 10037",Savings,620,SD,2022-06-23
b2cdc616-e0b0-4399-bfe9-eeb6a52ecc97,Susan Rush DDS,ugonzalez@example.net,001-771-919-3246x73904,"54303 Lopez Island Suite 736, Faithside, AL 81719",Business,730,NH,2021-09-16
0b296a22-4739-479b-9015-11d4fa60ce80,Kendra Mcdowell,andrea32@example.org,783-997-3940x636,"9564 Edward Ports, New Abigail, KY 80959",Business,765,MH,2021-09-09
